2000, 100, 1, 5326.57, 8.00576, 5
2000, 100, 1, 5326.57, 4.42122, 5
2000, 100, 1, 5326.57, 3.78125, 2
1800, 100, 0.9, 33564.4, 2.24691, 1
1800, 100, 0.9, 33564.4, 1.50234, 1
1800, 100, 0.9, 33564.4, 2.75041, 1
1600, 100, 0.8, 61807.7, 2.02292, 1
1600, 100, 0.8, 61807.7, 1.64865, 1
1600, 100, 0.8, 61807.7, 5.95806, 3
1400, 100, 0.7, 90095, 3.81759, 2
1400, 100, 0.7, 90095, 2.458, 2
1400, 100, 0.7, 90095, 3.13501, 2
1200, 100, 0.6, 118317, 3.76846, 2
1200, 100, 0.6, 118317, 0.851607, 2
1200, 100, 0.6, 118317, 6.27891, 4
1000, 144, 0.5, 146682, 3.37977, 2
1000, 100, 0.5, 146682, 2.49559, 2
1000, 144, 0.5, 146682, 1.85269, 1
800, 356, 0.4, 174989, 2.15703, 1
800, 140, 0.4, 174989, 0.785094, 1
800, 356, 0.4, 174989, 3.51789, 2
600, 1133, 0.3, 203238, 2.45457, 3
600, 337, 0.3, 203238, 3.9603, 3
600, 1133, 0.3, 203238, 3.45655, 2
400, 5753, 0.2, 231441, 2.42188, 1
400, 1148, 0.2, 231441, 0.995101, 1
400, 5753, 0.2, 231441, 5.74246, 4
200, 92100, 0.1, 259714, 9.48025, 3
200, 9207, 0.1, 259714, 1.33583, 1
200, 92100, 0.1, 259714, 8.47496, 7
100, 1000000, 0.05, 273843, 50.404, 8
100, 73679, 0.05, 273843, 7.45378, 5
100, 1000000, 0.05, 273843, 34.9794, 6
