2000, 100, 1, 5272.89, 1.89541, 2
2000, 100, 1, 5272.89, 0.40026, 2
2000, 100, 1, 5272.89, 1.8185, 2
1800, 100, 0.9, 33655.9, 1.02818, 1
1800, 100, 0.9, 33655.9, 0.528074, 1
1800, 100, 0.9, 33655.9, 1.28021, 1
1600, 100, 0.8, 61917.4, 1.1921, 2
1600, 100, 0.8, 62182.5, 0.4685, 2
1600, 100, 0.8, 61917.4, 1.1333, 1
1400, 100, 0.7, 90239.2, 0.992918, 1
1400, 100, 0.7, 90239.2, 0.290233, 1
1400, 100, 0.7, 90239.2, 1.64378, 2
1200, 489, 0.6, 118401, 0.930116, 1
1200, 489, 0.6, 118401, 0.552595, 1
1200, 100, 0.6, 118401, 1.09471, 1
1000, 646, 0.5, 146688, 1.00533, 2
1000, 646, 0.5, 146688, 0.556368, 2
1000, 144, 0.5, 146688, 1.91221, 2
800, 475, 0.4, 174861, 0.690622, 1
800, 1444, 0.4, 174861, 0.830303, 2
800, 356, 0.4, 174861, 3.86511, 5
600, 2070, 0.3, 203153, 0.955104, 2
600, 2070, 0.3, 203153, 0.274267, 2
600, 1133, 0.3, 203153, 0.732301, 1
400, 1148, 0.2, 231449, 1.13182, 2
400, 1148, 0.2, 231449, 0.859462, 2
400, 5753, 0.2, 231449, 3.80544, 5
20, 1000000, 0.01, 286052, 21.7178, 6
20, 1000000, 0.01, 286052, 22.9024, 6
200, 92100, 0.1, 259705, 6.06038, 7
19, 1000000, 0.0095, 286098, 21.1998, 2
19, 1000000, 0.0095, 286098, 21.3842, 2
100, 1000000, 0.05, 273854, 18.2653, 9
