2000, 521, 1, 5339.34, 0.935871, 1
2000, 521, 1, 5339.39, 0.367529, 1
2000, 100, 1, 5339.34, 3.10288, 3
1800, 713, 0.9, 33611.1, 0.736184, 1
1800, 1868, 0.9, 33714.2, 0.414428, 2
1800, 100, 0.9, 33611.1, 1.32026, 1
1600, 138, 0.8, 61751.7, 0.961291, 1
1600, 138, 0.8, 61751.7, 0.577637, 1
1600, 100, 0.8, 61751.7, 1.95395, 2
1400, 900, 0.7, 90065, 1.05674, 2
1400, 1034, 0.7, 90065, 0.61243, 3
1400, 100, 0.7, 90065, 1.04612, 1
1200, 100, 0.6, 118482, 0.759195, 1
1200, 2733, 0.6, 118482, 0.867232, 2
1200, 100, 0.6, 118482, 1.32994, 2
1000, 1243, 0.5, 146732, 0.778044, 2
1000, 244, 0.5, 146732, 0.617476, 1
1000, 144, 0.5, 146732, 1.74657, 2
800, 2871, 0.4, 174967, 1.34886, 2
800, 8553, 0.4, 174967, 0.74368, 3
800, 356, 0.4, 174967, 1.35507, 2
600, 20822, 0.3, 203253, 1.04538, 3
600, 20822, 0.3, 203253, 1.24836, 3
600, 1133, 0.3, 203253, 2.00422, 3
400, 5180, 0.2, 231484, 1.3653, 2
400, 43840, 0.2, 234240, 1.75919, 5
400, 5753, 0.2, 231484, 1.95316, 3
16, 1000000, 0.008, 286343, 20.005, 5
17, 1000000, 0.0085, 286486, 19.8333, 5
200, 92100, 0.1, 259705, 2.32521, 2
14, 1000000, 0.007, 286678, 21.9427, 5
14, 1000000, 0.007, 286678, 22.5666, 5
100, 1000000, 0.05, 273868, 19.1172, 7
